,attack type,shadow model,slice feature,slice value,train size,test size,Attacker advantage,Positive predictive value,AUC,fpr@0.1,fpr@0.001
258,lira,23,class,4,2921,2921,0.0664,1.0000,0.5440,0.1356,0.0185
259,lira,23,class,5,2710,2711,0.0902,1.0000,0.5646,0.1502,0.0210
260,lira,23,class,6,2959,2959,0.0652,1.0000,0.5499,0.1487,0.0095
261,lira,23,class,7,3132,3133,0.0466,1.0000,0.5274,0.1232,0.0160
262,lira,23,class,8,2925,2926,0.0683,1.0000,0.5474,0.1480,0.0222
263,lira,23,class,9,2974,2975,0.0813,1.0000,0.5660,0.1634,0.0340
264,lira,24,Entire dataset,,29997,30003,0.0572,1.0000,0.5456,0.1399,0.0187
265,lira,24,class,0,2961,2962,0.0556,1.0000,0.5370,0.1307,0.0135
266,lira,24,class,1,3371,3371,0.0371,1.0000,0.5258,0.1249,0.0092
267,lira,24,class,2,2979,2979,0.0950,1.0000,0.5650,0.1568,0.0201
268,lira,24,class,3,3065,3066,0.0675,1.0000,0.5462,0.1409,0.0170
269,lira,24,class,4,2921,2921,0.0479,1.0000,0.5335,0.1246,0.0212
270,lira,24,class,5,2710,2711,0.0844,1.0000,0.5591,0.1572,0.0258
271,lira,24,class,6,2959,2959,0.0581,1.0000,0.5410,0.1298,0.0176
272,lira,24,class,7,3132,3133,0.0587,1.0000,0.5438,0.1363,0.0156
273,lira,24,class,8,2925,2926,0.0651,1.0000,0.5493,0.1381,0.0195
274,lira,24,class,9,2974,2975,0.0765,1.0000,0.5590,0.1516,0.0188
275,lira,25,Entire dataset,,29997,30003,0.0572,1.0000,0.5470,0.1390,0.0176
276,lira,25,class,0,2961,2962,0.0397,1.0000,0.5257,0.1202,0.0122
277,lira,25,class,1,3371,3371,0.0285,1.0000,0.5163,0.1115,0.0080
278,lira,25,class,2,2979,2979,0.0926,1.0000,0.5689,0.1605,0.0292
279,lira,25,class,3,3065,3066,0.0916,1.0000,0.5660,0.1465,0.0294
280,lira,25,class,4,2921,2921,0.0462,1.0000,0.5317,0.1421,0.0154
281,lira,25,class,5,2710,2711,0.1013,1.0000,0.5756,0.1583,0.0236
282,lira,25,class,6,2959,2959,0.0466,1.0000,0.5285,0.1294,0.0118
283,lira,25,class,7,3132,3133,0.0542,1.0000,0.5415,0.1360,0.0204
284,lira,25,class,8,2925,2926,0.0864,1.0000,0.5576,0.1467,0.0212
285,lira,25,class,9,2974,2975,0.0897,1.0000,0.5623,0.1369,0.0249
286,lira,26,Entire dataset,,29997,30003,0.0559,1.0000,0.5468,0.1414,0.0186
287,lira,26,class,0,2961,2962,0.0337,1.0000,0.5218,0.1182,0.0101
288,lira,26,class,1,3371,3371,0.0510,1.0000,0.5309,0.1213,0.0059
289,lira,26,class,2,2979,2979,0.1074,1.0000,0.5825,0.1662,0.0258
290,lira,26,class,3,3065,3066,0.0754,1.0000,0.5567,0.1589,0.0170
291,lira,26,class,4,2921,2921,0.0579,1.0000,0.5412,0.1243,0.0178
292,lira,26,class,5,2710,2711,0.0708,1.0000,0.5568,0.1550,0.0292
293,lira,26,class,6,2959,2959,0.0537,1.0000,0.5325,0.1321,0.0149
294,lira,26,class,7,3132,3133,0.0568,1.0000,0.5439,0.1437,0.0188
295,lira,26,class,8,2925,2926,0.0745,1.0000,0.5539,0.1446,0.0185
296,lira,26,class,9,2974,2975,0.0631,1.0000,0.5475,0.1459,0.0225
297,lira,27,Entire dataset,,29997,30003,0.0588,1.0000,0.5491,0.1405,0.0196
298,lira,27,class,0,2961,2962,0.0289,1.0000,0.5177,0.1233,0.0115
299,lira,27,class,1,3371,3371,0.0659,1.0000,0.5377,0.1231,0.0101
300,lira,27,class,2,2979,2979,0.0926,1.0000,0.5766,0.1840,0.0208
301,lira,27,class,3,3065,3066,0.0703,1.0000,0.5491,0.1380,0.0228
302,lira,27,class,4,2921,2921,0.0582,1.0000,0.5375,0.1239,0.0171
303,lira,27,class,5,2710,2711,0.0976,1.0000,0.5751,0.1598,0.0310
304,lira,27,class,6,2959,2959,0.0649,1.0000,0.5391,0.1352,0.0206
305,lira,27,class,7,3132,3133,0.0523,1.0000,0.5384,0.1312,0.0105
306,lira,27,class,8,2925,2926,0.0929,1.0000,0.5600,0.1391,0.0157
307,lira,27,class,9,2974,2975,0.0798,1.0000,0.5635,0.1543,0.0262
308,lira,28,Entire dataset,,29997,30003,0.0560,1.0000,0.5451,0.1373,0.0165
309,lira,28,class,0,2961,2962,0.0387,1.0000,0.5192,0.1226,0.0078
310,lira,28,class,1,3371,3371,0.0297,1.0000,0.5200,0.1225,0.0083
311,lira,28,class,2,2979,2979,0.1125,1.0000,0.5862,0.1725,0.0248
312,lira,28,class,3,3065,3066,0.0786,1.0000,0.5458,0.1321,0.0189
313,lira,28,class,4,2921,2921,0.0671,1.0000,0.5426,0.1267,0.0175
314,lira,28,class,5,2710,2711,0.0832,1.0000,0.5613,0.1384,0.0199
315,lira,28,class,6,2959,2959,0.0713,1.0000,0.5508,0.1372,0.0122
316,lira,28,class,7,3132,3133,0.0438,1.0000,0.5329,0.1357,0.0128
317,lira,28,class,8,2925,2926,0.0697,1.0000,0.5499,0.1361,0.0202
